Wavelengths,Transmission
701.0168361,1.576770167
701.4669112,1.599940126
701.9169862,1.623004234
702.3670612,1.65366172
702.8171362,1.68626402
703.2672112,1.725990609
703.7172862,1.769675316
704.1673612,1.816265963
704.6174362,1.86753038
705.0675113,1.920204304
705.5175863,1.982121156
705.9676613,2.045446218
706.4177363,2.112885701
706.8678113,2.182150106
707.3178863,2.253062978
707.7679613,2.325649873
708.2180363,2.400808623
708.6681114,2.483597258
709.1181864,2.568447916
709.5682614,2.655393725
710.0183364,2.744358495
710.4684114,2.832818275
710.9184864,2.923304059
711.3685614,3.015846292
711.8186364,3.110477866
712.2687115,3.20461978
712.7187865,3.138005163
713.1688615,3.03170414
713.6189365,2.922479423
714.0690115,2.814002315
714.5190865,2.703609404
714.9691615,2.594992187
715.4192365,2.488178877
715.8693116,2.383197675
716.3193866,2.268751283
716.7694616,2.154801848
717.2195366,2.044063792
717.6696116,1.936514798
718.1196866,1.970123694
718.5697616,2.064730625
719.0198366,2.161074756
719.4699117,2.259124115
719.9199867,2.358846946
720.3700617,2.439325097
720.8201367,2.506558312
721.2702117,2.572594139
721.7202867,2.639307926
722.1703617,2.726618009
722.6204367,2.808054365
723.0705118,2.889298368
723.5205868,2.970295266
723.9706618,3.050991555
724.4207368,3.117889955
724.8708118,3.18309129
725.3208868,3.25072639
725.7709618,3.31719041
726.2210368,3.377220406
726.6711119,3.43016949
727.1211869,3.481249263
727.5712619,3.530414232
728.0213369,3.591257934
728.4714119,3.738504381
728.9214869,3.868158289
729.3715619,3.960800012
729.8216369,4.008107873
730.271712,4.063856961
730.721787,4.136888255
731.171862,4.210540018
731.621937,4.284809547
732.072012,4.364211296
732.522087,4.468614228
732.972162,4.574804155
733.422237,4.682800915
733.8723121,4.792624462
734.3223871,4.915071554
734.7724621,5.044228386
735.2225371,5.175955942
735.6726121,5.310290353
736.1226871,5.494222855
736.5727621,5.690843621
737.0228371,5.889673478
737.4729122,6.059702121
737.9229872,6.219665022
738.3730622,6.338515654
738.8231372,6.457093979
739.2732122,6.577380677
739.7232872,6.699393346
740.1733622,6.815601435
740.6234372,6.921105522
741.0735123,7.022448246
741.5235873,7.115424333
741.9736623,7.209287286
742.4237373,7.28070323
742.8738123,7.351017147
743.3238873,7.409570933
743.7739623,7.464063653
744.2240373,7.504014677
744.6741124,7.52897532
745.1241874,7.553628357
745.5742624,7.547662859
746.0243374,7.533316235
746.4744124,7.491140774
746.9244874,7.44466074
747.3745624,7.395748014
747.8246374,7.346763428
748.2747125,7.273605158
748.7247875,7.185189009
749.1748625,7.096961883
749.6249375,7.008930426
750.0750125,6.913013339
750.5250875,6.777236664
750.9751625,6.64838828
751.4252375,6.530139115
751.8753126,6.412127709
752.3253876,6.253251748
752.7754626,6.079774206
753.2255376,5.907638324
753.6756126,5.74927348
754.1256876,5.584402741
754.5757626,5.380957294
755.0258376,5.179060804
755.4759127,4.978842494
755.9259877,4.780432956
756.3760627,4.536754247
756.8261377,4.254217737
757.2762127,4.007189177
757.7262877,3.787975031
758.1763627,3.608888985
758.6264377,3.482939337
759.0765128,3.325400251
759.5265878,3.172497195
759.9766628,3.024178241
760.4267378,2.979944939
760.8768128,2.94124409
761.3268878,2.902520754
761.7769628,2.863782242
762.2270378,2.84756334
762.6771129,2.85437997
763.1271879,2.860337043
763.5772629,2.865426148
764.0273379,2.870095929
764.4774129,2.880900582
764.9274879,2.890729984
765.3775629,2.89957211
765.8276379,2.90741545
766.277713,2.909216096
766.727788,2.906962929
767.177863,2.929358748
767.627938,3.199279186
768.078013,3.481313019
768.528088,3.761772922
768.978163,4.055438432
769.428238,4.362571558
769.8783131,4.68343674
770.3283881,4.994242378
770.7784631,5.306764754
771.2285381,5.62983331
771.6786131,5.963747825
772.1286881,6.295641054
772.5787631,6.604016794
773.0288381,6.918080383
773.4789132,7.237711484
773.9289882,7.562790003
774.3790632,7.848524486
774.8291382,8.127409594
775.2792132,8.407962621
775.7292882,7.432567474
776.1793632,6.329063163
776.6294382,5.305791673
777.0795133,4.387044829
777.5295883,3.568555312
777.9796633,2.846112947
778.4297383,3.278358282
778.8798133,4.101180767
779.3298883,4.988083493
779.7799633,5.931189728
780.2300383,6.893771731
780.6801134,7.855599529
781.1301884,8.094473726
781.5802634,8.008217626
782.0303384,7.907452885
782.4804134,7.698699123
782.9304884,7.482199003
783.3805634,7.258329014
783.8306384,6.948790813
784.2807135,6.490107789
784.7307885,6.006734225
785.1808635,5.564298196
